circuit_family,logical_qubits,topology,optimization_level,n_seeds,min,max,median,spread,relative_spread,iqr,normalized_spread,zero_spread,stratum
efficient_su2,20,line_27,0,5,4.225,4.7,4.45,0.47500000000000053,1.1124260355029587,0.024999999999999467,0.10674157303370799,False,L0
efficient_su2,24,line_27,0,5,4.104166666666667,4.625,4.5625,0.520833333333333,1.1269035532994922,0.33333333333333304,0.11415525114155245,False,L0
ghz_chain,4,line_27,0,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L0
ghz_chain,8,line_27,0,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L0
ghz_chain,12,line_27,0,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L0
ghz_chain,16,line_27,0,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L0
ghz_chain,20,line_27,0,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L0
ghz_chain,24,line_27,0,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L0
ghz_star,4,line_27,0,5,3.0,3.0,3.0,0.0,1.0,0.0,0.0,True,L0
ghz_star,8,line_27,0,5,3.571428571428572,4.0,3.7142857142857135,0.42857142857142794,1.1199999999999999,0.42857142857142794,0.11538461538461524,False,L0
ghz_star,12,line_27,0,5,4.0,4.545454545454546,4.0,0.5454545454545459,1.1363636363636365,0.18181818181818166,0.13636363636363646,False,L0
ghz_star,16,line_27,0,5,4.2,4.533333333333333,4.533333333333333,0.33333333333333304,1.0793650793650793,0.33333333333333304,0.07352941176470582,False,L0
ghz_star,20,line_27,0,5,4.157894736842105,4.789473684210527,4.578947368421052,0.6315789473684221,1.1518987341772156,0.5263157894736841,0.13793103448275887,False,L0
ghz_star,24,line_27,0,5,4.130434782608695,4.869565217391305,4.478260869565218,0.7391304347826093,1.1789473684210527,0.3913043478260878,0.1650485436893205,False,L0
qft,4,line_27,0,5,2.1,2.7,2.2,0.6000000000000001,1.2857142857142858,0.10000000000000009,0.27272727272727276,False,L0
qft,8,line_27,0,5,2.8846153846153846,3.230769230769231,2.9615384615384617,0.34615384615384626,1.12,0.23076923076923084,0.11688311688311691,False,L0
qft,12,line_27,0,5,3.1904761904761907,4.071428571428571,3.809523809523809,0.8809523809523805,1.2761194029850744,0.40476190476190466,0.23124999999999993,False,L0
qft,16,line_27,0,5,3.8620689655172415,4.379310344827586,3.931034482758621,0.5172413793103448,1.1339285714285714,0.4827586206896557,0.13157894736842102,False,L0
qft,20,line_27,0,5,3.6486486486486487,4.5,4.013513513513513,0.8513513513513513,1.2333333333333334,0.09459459459459474,0.21212121212121213,False,L0
qft,24,line_27,0,5,4.166666666666667,4.7444444444444445,4.333333333333333,0.5777777777777775,1.1386666666666665,0.13333333333333286,0.13333333333333328,False,L0
efficient_su2,4,cairo_heavy_hex_27,1,5,2.125,2.125,2.125,0.0,1.0,0.0,0.0,True,L1
efficient_su2,8,cairo_heavy_hex_27,1,5,2.375,3.125,2.5,0.75,1.3157894736842106,0.4375,0.3,False,L1
efficient_su2,12,cairo_heavy_hex_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
efficient_su2,16,cairo_heavy_hex_27,1,5,2.53125,3.25,2.6875,0.71875,1.2839506172839505,0.1875,0.26744186046511625,False,L1
efficient_su2,20,cairo_heavy_hex_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
efficient_su2,24,cairo_heavy_hex_27,1,5,3.125,3.25,3.125,0.125,1.04,0.125,0.04,False,L1
ghz_chain,4,cairo_heavy_hex_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
ghz_chain,8,cairo_heavy_hex_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
ghz_chain,12,cairo_heavy_hex_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
ghz_chain,16,cairo_heavy_hex_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
ghz_chain,20,cairo_heavy_hex_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
ghz_chain,24,cairo_heavy_hex_27,1,5,2.3043478260869565,2.3043478260869565,2.3043478260869565,0.0,1.0,0.0,0.0,True,L1
ghz_star,4,cairo_heavy_hex_27,1,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L1
ghz_star,8,cairo_heavy_hex_27,1,5,2.142857142857143,3.142857142857143,2.7142857142857144,1.0,1.4666666666666668,0.4285714285714284,0.3684210526315789,False,L1
ghz_star,12,cairo_heavy_hex_27,1,5,2.909090909090909,3.090909090909091,3.0,0.18181818181818166,1.0625,0.09090909090909083,0.06060606060606055,False,L1
ghz_star,16,cairo_heavy_hex_27,1,5,3.4,3.4,3.4,0.0,1.0,0.0,0.0,True,L1
ghz_star,20,cairo_heavy_hex_27,1,5,3.421052631578948,3.842105263157895,3.526315789473684,0.42105263157894735,1.123076923076923,0.26315789473684115,0.11940298507462686,False,L1
ghz_star,24,cairo_heavy_hex_27,1,5,3.8260869565217392,4.0,3.869565217391304,0.17391304347826075,1.0454545454545454,0.08695652173913038,0.04494382022471907,False,L1
qft,4,cairo_heavy_hex_27,1,5,1.8,1.8,1.8,0.0,1.0,0.0,0.0,True,L1
qft,8,cairo_heavy_hex_27,1,5,2.6538461538461537,2.8076923076923075,2.769230769230769,0.15384615384615374,1.0579710144927537,0.11538461538461497,0.05555555555555552,False,L1
qft,12,cairo_heavy_hex_27,1,5,2.6666666666666665,3.6666666666666665,3.095238095238096,1.0,1.375,0.9047619047619047,0.32307692307692304,False,L1
qft,16,cairo_heavy_hex_27,1,5,3.7586206896551726,4.103448275862069,3.948275862068965,0.3448275862068968,1.0917431192660552,0.13793103448275978,0.0873362445414848,False,L1
